"TITLE"|"AUTHOR"|"PACE"|"LENGTH"|"PLOT_COMPLEXITY"|"THEMES"|"MOOD"
"Lilly Peppertree: Lilly's Spell"|"Julie Hodgson"|""|""|""|""|""
"Dark Perceptions"|"Debra Kristi"|""|""|""|""|""
"The Vampire and the Necromancer: An out of Sequence Love Story"|"Gisele R. Walko"|""|""|""|""|""
"Eerie"|"C.M. McCoy"|""|""|""|""|""
"The Strange Tale of Hector and Hannah Crowe"|"Nathaniel Hensley"|""|""|""|""|""
"The Sleeping Angel"|"Margarita Morris"|""|""|""|""|""
"The Hawley Book of the Dead"|"Chrysler Szarlan"|""|""|""|""|""
"Fallen Angel (Ominous #Prequel)."|"Patricia Puddle"|""|""|""|""|""
"Unblemished"|"Sara Ella"|"1"|"4"|"3"|"5|2"|"2"
"Queen of Fire"|"Cassie   James"|""|""|""|""|""
"Saving Honor"|"Melissa C. Water, Melissa  Wall"|""|""|""|""|""
"Captains of the Sands"|"Gregory Rabassa, Jorge Amado"|"1"|"8"|"7"|"9|6|5|4|3|2"|"2"
"The Death Catchers"|"Jennifer Anne Kogler"|""|""|""|""|""
"Believe: Journey from Jacksonville"|"Ken Norton, John V. Amodeo, Donald Hennessey Jr"|""|""|""|""|""
"Purr, Kitten!"|"Kristel Juurik"|""|""|""|""|""
"Steele Secrets"|"Andi Cumbo-Floyd"|""|""|""|""|""
"In the Depths"|"R.W.K. Clark"|""|""|""|""|""
"Take These Broken Wings"|"Natalie Corbett Sampson"|""|""|""|""|""
"The Girl with Spunk"|"Judith St. George"|""|""|""|""|""
"The Hidden Village"|"Imogen Matthews"|""|""|""|""|""
"The Key to Everything"|"Paula Stokes"|""|""|""|""|""
"The Venomous Monster"|"Melissa Mahinay, Melissa M. Futrell"|""|""|""|""|""
"Thistown"|"Malcolm McKay"|""|""|""|""|""
"The Boarding School Experiment"|"Emily  Evans"|""|""|""|""|""
"Rian Field"|"Krista Wagner"|""|""|""|""|""
"Magonia"|"Maria Dahvana Headley"|""|""|""|""|""
"The Beekeeper's Daughter"|"Jane  Jordan"|""|""|""|""|""
"homecoming queens"|"J.E. Sumerau"|""|""|""|""|""
"Listen to My Heartbeat"|"Prajna G.S."|""|""|""|""|""
"The Blue-Eyed Aborigine"|"Rosemary Hayes"|""|""|""|""|""
"Running in Heels"|"Anna Maxted"|""|""|""|""|""
"If I Fix You"|"Abigail  Johnson"|"8"|"7"|"9"|"8|7"|"7"
"To the Stars From Autumn"|"Autumn Coleman"|""|""|""|""|""
"Heart of Thorns"|"Bree Barton"|"1"|"3"|"4"|"2|5"|"5"
"Asmi"|"Anita S.J."|""|""|""|""|""
"Enchante"|"Gita Trelease"|""|""|""|""|""
"Long Live the Suicide King"|"Aaron Michael Ritchey"|""|""|""|""|""
"Skipped Parts: A Novel"|"Tim Sandlin"|""|""|""|""|""
"The Scribe"|"Elizabeth   Hunter"|""|""|""|""|""
"God is a Robot"|"Louise Blackwick"|""|""|""|""|""
"Becoming Miss Izzy"|"Mary Lazarski, Sue Zook"|""|""|""|""|""
"Illusion of Ecstasy"|"Nicole Loufas"|""|""|""|""|""
"The Lost Princess of Aevilen"|"D.C. Payson"|"8"|"7"|"9"|"6|8"|"8"
"The Demon Seekers: Book Three"|"John Shors"|""|""|""|""|""
"The Perfect First"|"Maya Hughes"|""|""|""|""|""
"Dragon of the Stars"|"Alex J. Cavanaugh"|""|""|""|""|""
"Stone Man and the Trail of Tears"|"Charles Suddeth"|""|""|""|""|""
"Multilingual Digital Marketing: Become The Market Leader"|"Maria Johnsen"|""|""|""|""|""
"Everlife Trilogy Complete Collection: An Anthology"|"Gena Showalter"|""|""|""|""|""
"The Lost and Found Journal of a Miner 49er: Vol. 1"|"Jack Dublin"|"1"|""|""|""|""
"Street Cultivation"|"Sarah Lin"|""|""|""|""|""
"The League of Ascenders: Secret of Nebulus"|"Spring Dalton"|""|""|""|""|""
"Island Survival: A Family Drama Novel"|"Lloyd  Davis"|""|""|""|""|""
"The Shadow Keepers"|"Marisa Noelle"|""|""|""|""|""
"Azalei's Riders (The Fire Rain Chronicles)"|"Miranda Marie"|""|""|""|""|""
"M.C. Escher: The Graphic Work"|"Bruce Brooks Pfeiffer, M.C. Escher"|""|""|""|""|""
"On Cue"|"Cristy Watson"|""|""|""|""|""
"Write A Prisoner"|"Keefe R.D."|""|""|""|""|""
"The Clock Tower Treasure"|"Victor  Hess"|""|""|""|""|""
"The Beta Male Revolution: Why Many Men Have Totally Lost Interest in Marriage in Today's Society"|"Alan Roger Currie"|""|""|""|""|""
"The Curse of Allston Manor"|"Valerie Claussen"|""|""|""|""|""
"Candy, Sweet & Sour"|"Bobbi Faulkner"|""|""|""|""|""
"The Eternal Agarthans"|"Isaac Michaan, Sherif Guirguis"|""|""|""|""|""
"Sustain"|"Valerie Claussen"|""|""|""|""|""
"Waif's Refuge"|"James     Matthews"|""|""|""|""|""
"In the Dust"|"Takani Dillon"|""|""|""|""|""
"Dual Sword God"|"Shadows Finger"|""|""|""|""|""
"The Liars of Mariposa Island"|"Jennifer Mathieu"|""|""|""|""|""
"A Canticle of War"|"Steven Raaymakers"|""|""|""|""|""
"Pregnancy Nutrition"|"Samantha Joe Smith"|""|""|""|""|""
"Harry Potter and the Chamber of Secrets: Sheet Music for Flute with CD"|"John   Williams"|""|""|""|""|""
"When Kingdom Comes"|"D.S. Churchill"|""|""|""|""|""
"The Brawl King: New Beginnings - We are not alone"|"Kashel Char"|""|""|""|""|""
"To Kill a Shadow"|"Katherine  Quinn"|""|""|""|""|""
"Jacks Blowjob Lessons"|"Jack's"|""|""|""|""|""
"The Way We Are"|"Olivia Norton"|""|""|""|""|""
"Snowshoe Trek to Otter River"|"David Budbill"|""|""|""|""|""
"What Your Mother Never Told You: A Teenage Girls Survival Guide"|"Richard M. Dudum"|""|""|""|""|""
"The Dark Light of November"|"M.J. Caraway"|""|""|""|""|""
"The Mcintyre Liar"|"David Bly"|""|""|""|""|""
"The Green Futures of Tycho"|"William Sleator"|""|""|""|""|""
"Ask Me No Questions"|"Marina Budhos"|"1"|"2"|"3"|"4|5"|"5"
"The Rabbit Trap"|"Sandra Kucinich-Horn"|""|""|""|""|""
"The Dreamhouse"|"Tom Sleigh"|""|""|""|""|""
"Spellfall"|"Katherine Roberts"|"1"|"4"|"3"|"2|5"|"5"
"The Last Guru"|"Daniel Pinkwater"|""|""|""|""|""
"This Is Push: New Stories from the Edge"|"Inc Scholastic, Brian James, Coe Booth, Eddie de Oliveira, Markus Zusak, Patricia McCormick, Billy Merrell, Tanuja Desai Hidier, Chris Wooding, Matthue Roth, Kevin Waltman, Eireann Corrigan, Christopher Krovatin, Kristen Kemp, Kevin Brooks, Samantha Schutz"|"1"|"2"|"3"|"4|5|3|2|1"|"5"
"The Glass Tower: Three Doorways to the Otherworld"|"Catherine Fisher"|""|""|""|""|""
"Children of the Sea, Volume 1"|"Daisuke Igarashi"|""|""|""|""|""
"The Last Chance Texaco"|"Brent Hartinger"|""|""|""|""|""
"Miss Match"|"Erynn Mangum"|""|""|""|""|""
"Strong Female Lead: Lessons from Women in Power"|"Arwa Mahdawi"|"1"|"8"|"9"|"7|6|5|4|9|8"|"7"
"A New Penny"|"Bianca Bradbury"|""|""|""|""|""
"Anxious Gretchen: Space Archaeologist"|"E.C. Spence"|""|""|""|""|""
"The Brink"|"Holden Sheppard"|""|""|""|""|""
"Good Luck: Creating the Conditions for Success in Life and Business"|"lex Rovira Celma, Fernando Tras de Bes"|""|""|""|""|""
"Any Witch Way"|"Annastaysia Savage"|""|""|""|""|""
"Everything I Was"|"Corinne Demas"|""|""|""|""|""
"Trying Hard to Hear You"|"Sandra Scoppettone"|""|""|""|""|""
"Kicks"|"Janet Fitch"|""|""|""|""|""
"Butterface"|"Gwen Hayes"|""|""|""|""|""
"Key to the Treasure"|"Peggy Parish"|""|""|""|""|""
"The Unauthorized History of DX"|"Aaron Feigenbaum, Shawn Michaels, Triple H"|""|""|""|""|""
"Whistling in the Dark"|"Lesley Kagen"|""|""|""|""|""
"Spectre Nightmares and Visitations"|"Pamela K. Kinney"|""|""|""|""|""
"Toby Alone"|"Sarah Ardizzone, Timothe de Fombelle"|""|""|""|""|""
"Simon the Coldheart"|"Georgette Heyer"|""|""|""|""|""
"The Angels Are Here"|"Patti Roberts"|""|""|""|""|""
"I Wanna Be Your Joey Ramone"|"Stephanie Kuehnert"|""|""|""|""|""
"Wilkinshire"|"Brenda Hasse"|""|""|""|""|""
"What the Moon Saw"|"Laura Resau"|""|""|""|""|""
"Lion of Babylon"|"Davis Bunn"|""|""|""|""|""
"Hafren: A Fantasy for the Young at Heart"|"Craig W. Dressler"|""|""|""|""|""
"My Sister Sif"|"Ruth Park"|""|""|""|""|""
"The Legend of Lost Earth"|"Hope Campbell"|""|""|""|""|""
"Hello, Darkness"|"Sandra       Brown"|""|""|""|""|""
"The Terrorist"|"Caroline B. Cooney"|""|""|""|""|""
"Body and Soul"|"Jamie Loeak"|""|""|""|""|""
"Read Me Dead"|"Emerald Barnes"|""|""|""|""|""
"The Green"|"Karly Kirkpatrick"|""|""|""|""|""
"Devil's Lullaby"|"Sarah J. Pepper"|""|""|""|""|""
"The World More Full of Weeping"|"Robert J. Wiersema"|""|""|""|""|""
"The Little Black Book of Paranormal Passions"|"Thomas Hunter Dillon, Sierra Sofia"|""|""|""|""|""
"The Fifth Ring"|"Mitchell Graham"|""|""|""|""|""
"Vibes"|"Amy Kathleen Ryan"|""|""|""|""|""
"Wanna Bet?"|"R.S. Burnett"|"8"|"7"|"9"|"6|8"|"8"
"New Blood (Melrose, #1)"|"Paul Dorset"|"1"|""|""|""|""
"A Lot like Love...a li'l like chocolate"|"Sumrit Shahi"|""|""|""|""|""
"Reflections of Life and Love in Australia"|"Margaret Lynette Sharp"|""|""|""|""|""
"Not Just Fate"|"Shilpa Arora Sharma"|""|""|""|""|""
"Prolegomena to Any Future Metaphysics"|"James W. Ellington, Immanuel Kant"|""|""|""|""|""
"The Inheritance"|"Louisa May Alcott"|""|""|""|""|""
"Xavier Walton's First Kiss"|"Phil Wohl"|""|""|""|""|""
"The Riddle of Prague"|"Laura DeBruce"|""|""|""|""|""
"A Mother to Embarrass Me"|"Carol Lynch Williams"|""|""|""|""|""
"Out of the Picture and Into the Picture"|"Victor G. LaVanWay"|""|""|""|""|""
"Pulled"|"Amy Lichtenhan, A.L. Jackson"|""|""|""|""|""
"Hybrid"|"Vanessa Wester"|""|""|""|""|""
"This Changes Everything"|"Sally Ember"|""|""|""|""|""
"Dinky the Elf"|"Rick L. Phillips"|""|""|""|""|""
"Night Chant"|"Andrew Demcak"|""|""|""|""|""
"Keep Me Still"|"Caisey Quinn"|"8"|"7"|"9"|"9|7"|"7"
"The Secret of Everything"|"Barbara O'Neal"|""|""|""|""|""
"The Last Song: Music from the Motion Picture Soundtrack Piano, Vocal and Guitar Chords"|"Hal Leonard Corporation"|""|""|""|""|""
"Josh's Wild Imagination"|"Pam Funke"|""|""|""|""|""
"The Secret Country"|"Pamela Dean"|"1"|"2"|"3"|"4|5"|"5"
"BOOTCAMP: Heart of a Nation"|"Stacey Logan"|""|""|""|""|""
"Chesca and the Spirit of Grace"|"Lara O'Brien"|""|""|""|""|""
"Vanished from Dust"|"Shea Norwood"|""|""|""|""|""
"Slip"|"Leslie J. Portu"|""|""|""|""|""
"Pieces of Me"|"Carrigan Richards"|""|""|""|""|""
"The Branches of Time"|"Luca  Rossi"|""|""|""|""|""
"Transference"|"Jeff Fuell"|""|""|""|""|""
"Beware The Riptide"|"Deborah McClatchey"|""|""|""|""|""
"The Taming"|"Teresa Toten, Eric Walters"|""|""|""|""|""
"Chubby Chaser"|"Kahoko Yamada"|""|""|""|""|""
"The Revisionary"|"Kristen Hogrefe Parnell"|""|""|""|""|""
"Deadly Dreams"|"Sarah Dieng"|""|""|""|""|""
"My Name is Criminal"|"Jessica Shubert"|""|""|""|""|""
"The Dark Portal"|"Robin Jarvis, Peter Glassman"|"1"|"2"|"3"|"4|5|3|2|1"|"4"
"BOOTCAMP: Daughter of the Lakota"|"Stacey Logan"|""|""|""|""|""
"The Wizard's Magic Kingdom"|"Jake Adler"|""|""|""|""|""
"Book of Hartwell"|"Phil Wohl"|""|""|""|""|""
"Time to Tell 'Em Off! A Pocket Guide to Overcoming Peer Ridicule"|"Deanna Miller"|""|""|""|""|""
"All the King's Traitors"|"Keylin Rivers"|""|""|""|""|""
"A Canticle of Two Souls"|"Steven Raaymakers"|""|""|""|""|""
"Journey Across the Overgrown Earth: A Post-Apocalypse"|"Kyle Hellkamp"|""|""|""|""|""
"Scare Scape"|"Sam Bosma, Sam  Fisher"|""|""|""|""|""
"Waterstone"|"Andrea Knowlton, Priscilla Reno"|""|""|""|""|""
"All Light Will Fall"|"Almney King"|""|""|""|""|""
"What Comes of Eating Doughnuts With a Boy Who Plays Guitar"|"Nicole  Campbell"|""|""|""|""|""
"Alchemy's Daughter"|"Mary A. Osborne"|""|""|""|""|""
"Beyond My Imagination"|"Gail Cavanaugh"|""|""|""|""|""
"My Mississippi Miss"|"Pantson Fire"|""|""|""|""|""
"Curse of Misty Hollow"|"D. Allen Rutherford"|""|""|""|""|""
"Finding Love Under a Rock"|"Allee Mae"|""|""|""|""|""
"Rarity"|"D.A. Roach"|""|""|""|""|""
"inkBLOT"|"Johnson Naigle"|""|""|""|""|""
"A Few Quiet Beers with God"|"John Perrier"|""|""|""|""|""
"Don't Forget To Breathe"|"Cathrina Constantine"|""|""|""|""|""
"Lunar Rampage"|"Samantha Cross"|"8"|"7"|"6"|"9|5"|"5"
"Take Her"|"Midnight  Taylor"|""|""|""|""|""
"The Lethian"|"Rufi Angel"|""|""|""|""|""
"The Flight of the Seagull"|"Greet Beukenkamp"|""|""|""|""|""
"The Intermediaries: Beat & Case"|"Taylor Dye"|""|""|""|""|""
"Boost"|"D.A. Paul"|"1"|"4"|"3"|"2|5"|"5"
"The Reapers"|"Ali Winters"|""|""|""|""|""
"The Journey of Eleven Moons"|"Bonnie Leon"|""|""|""|""|""
"Going Down in Flames"|"Chris  Cannon"|""|""|""|""|""
"Elementary Virtue: The Savior"|"Sonja Wuthrich"|""|""|""|""|""
"Lost in Tokyo"|"Jenny Lynne"|""|""|""|""|""
"The Story of Hallie"|"Abigail Road"|""|""|""|""|""
"Our Moon"|"Jennifer L. Allen"|""|""|""|""|""
"Generation"|"Ben Reid, Sam  Reid"|""|""|""|""|""
"The Berserker and the Pedant: The Complete First Season"|"Josh Powell"|""|""|""|""|""
"The Crystal Keys: Champion of Destiny"|"Angelia Griffin, Gary Follis"|""|""|""|""|""
"The Gisburn Witch"|"Sarah L. King"|""|""|""|""|""
"The Duchess Adlai, Introductions, Inventions, and the Most Awesome Adventures"|"Tonya Knudsen"|""|""|""|""|""
"Stone Rider"|"David Hofmeyr"|""|""|""|""|""
"The King's Gambit"|"John McNichol, Sean Fitzpatrick"|""|""|""|""|""
"Teylor High: The Summer Hook Up"|"T.D. Hubbard"|""|""|""|""|""
"This Quiet Sky"|"Joanne Bischof"|""|""|""|""|""
"Will of Fate"|"Samantha Britt"|""|""|""|""|""
"The Truthseeker"|"Eric Stockwell"|"8"|"7"|"9"|"6|7"|"7"
"Memoirs of a Girl Who Loves God"|"C.L.  Wells"|""|""|""|""|""
"A Brief Stay at Earth Human Camp"|"Marie C. Collins"|""|""|""|""|""
"Half in Love with Death"|"Emily  Ross"|""|""|""|""|""
"Friendship Love And Killer Escapades"|"Pankaj Giri, Apoorv Wanikar"|""|""|""|""|""
"The Water Seer"|"H.M.C."|""|""|""|""|""
"Summer Shorts"|"Lachlan Werner"|""|""|""|""|""
"Invisible Me"|"Debbi Mack"|""|""|""|""|""
"A Candle Lit: Deconstructing Alcoholism"|"Mark Urso"|""|""|""|""|""
"Cafe' of the Hungry Ghosts"|"Teri J. Dluznieski"|""|""|""|""|""
"Reaper: Awakening"|"Seth Gruner"|""|""|""|""|""
"The Ishim Underground"|"Carrie Bailey"|""|""|""|""|""
"Piper Houdini: Apprentice of Coney Island"|"John Kissee, Glenn Herdling"|""|""|""|""|""
"Walk Through Cold Fire"|"Cin Forshay-Lunsford"|""|""|""|""|""
"When Saigon Surrendered: A Kentucky Mystery"|"James Aura"|""|""|""|""|""
"Separation"|"Babette Brown"|"8"|"7"|"9"|"6|7"|"7"
"Elias Brook"|"Jared Topalian"|""|""|""|""|""
"Jane Unwrapped"|"Kate Rooper, Leah Rooper"|""|""|""|""|""
"Without Chance"|"Christopher  Bailey"|""|""|""|""|""
"Rebecca's Initiation"|"Gary  Green"|""|""|""|""|""
"Pisces"|"Rachel Medhurst"|""|""|""|""|""
"Confessions of Innocence"|"L.S. May"|""|""|""|""|""
"Nowhere Wild"|"Joe Beernink"|""|""|""|""|""
"No Surrender Soldier"|"Christine Kohler"|""|""|""|""|""
"Second Sun"|"Jennifer S. Smith, Matthew R.  Smith"|"8"|"7"|"9"|"6|8"|"8"
"Legend: The Graphic Novel"|"Marie Lu"|""|""|""|""|""
"Forever Midnight"|"Carol Suraci"|""|""|""|""|""
"amazing tales"|"G.C. Smith"|""|""|""|""|""
"Schaum's Outline of Signals and Systems"|"Hwei P. Hsu"|""|""|""|""|""
"Spin the Love"|"Lisa Terry"|""|""|""|""|""
"A Tempest Soul"|"Oliver Phipps"|""|""|""|""|""
"Finding Love"|"Charlize Worthington"|""|""|""|""|""
"Chosen Heart"|"Ann  Stewart, Stephanie Nash"|""|""|""|""|""
"Convergence"|"Trudie L. Hayes"|""|""|""|""|""
"The Mimosa Tree"|"Bill Cleaver, Vera Cleaver"|""|""|""|""|""
"Tara Thunderbolt and the Sky Dancer Cat"|"Perri Birney"|""|""|""|""|""
"Organic Chemistry [with WebConnect]"|"Leroy G. Wade Jr."|""|""|""|""|""
"The Difficulty of Breathing, a simply complex story..."|"Joe Egly"|""|""|""|""|""
"Phoenix Awakens"|"Eliza Nolan"|""|""|""|""|""
"The Darkness of Peoh"|"Aileen Morris"|""|""|""|""|""
"Legend of The East Road"|"Hamilton Hill"|""|""|""|""|""
"Fighting"|"Cat Phoenix"|""|""|""|""|""
"Finding Elizabeth"|"Taylor Fenner"|""|""|""|""|""
"False Gods: The Show Jumper's Challenge"|"L.R. Trovillion"|""|""|""|""|""
"Here with Me Now"|"Rebecca Markus"|""|""|""|""|""
"Tales of the Madman Underground"|"John Barnes"|"8"|"7"|"9"|"9|6"|"6"
"Atlantis: On the Shores of Forever"|"Jennifer McKeithen"|""|""|""|""|""
"Lost in Montreal"|"Gay Walley"|""|""|""|""|""
"Feed The God in You"|"S.J. Macurdy"|""|""|""|""|""
"Outcry"|"Jennifer Michiels"|""|""|""|""|""
"Must Remember"|"Colleen S. Myers"|""|""|""|""|""
"Past Lives"|"Shana Chartier"|""|""|""|""|""
"Desiderios"|"Rick Cooper, Andrs Rodrguez, M.H.   Lee"|""|""|""|""|""
"Blind Sense"|"Deborah Leitch"|""|""|""|""|""
"Dragon On My Neck"|"Elizabeth S. Tyree"|""|""|""|""|""
"The Legendary Haunting of Quentin Wallis"|"C.K. McKenzie"|""|""|""|""|""
"Grimoire"|"T.A. Newman"|""|""|""|""|""
"The Almshouse"|"Blanche C. King"|""|""|""|""|""
"The Guardian Wars: Part One"|"James    Kelly"|""|""|""|""|""
"Southern Christmas: Happy Holidays Y'all"|"David Matheny"|""|""|""|""|""
"Old Flames and Heroes"|"Mord McGhee, Loren Coleman"|""|""|""|""|""
"Nona & Me"|"Clare Atkins"|"8"|"7"|"9"|"9"|""
"The Soft Dragons Thunder"|"Adam N. Webber, Sarah Zisa"|""|""|""|""|""
"Hidden Husband"|"Shikha Kaul"|""|""|""|""|""
"The Three Others"|"Mohammad Ali V"|""|""|""|""|""
"Yaser and Yasmeen: A Novel In Verse/ An Epic Poem"|"Saleh M. Radaideh"|""|""|""|""|""
"CODE X Discovery"|"M.R. Vallone"|""|""|""|""|""
"Asleep"|"Krystal Wade"|""|""|""|""|""
"The Witch's Disease"|"Layla AlJailani"|""|""|""|""|""
"When Fall Fades"|"Amy Leigh Simpson"|""|""|""|""|""
"The Inconvenient Process of Falling"|"Katie Neipris"|""|""|""|""|""
"School Bully: A Chris and Triple 'A' Series"|"Brian  Kinnaird, Dawn Cummins"|""|""|""|""|""
"Our Kiss"|"J.A. Alldredge"|""|""|""|""|""
"Afta-U"|"Jennifer-Lynn Keniston"|""|""|""|""|""
"The Starhawk Chronicles"|"Joseph J. Madden"|""|""|""|""|""
"Secret of Omordion"|"Nande Orcel"|""|""|""|""|""
"Outsiders"|"Tammy Ferebee"|""|""|""|""|""
"Dystopia Boy: The Unauthorized Files"|"Trevor D. Richardson"|""|""|""|""|""
"Age of Shadows"|"Robert A. Foster"|""|""|""|""|""
"Urban"|"S.T. Rose"|""|""|""|""|""
"Seasons Change"|"Jason Worthley"|""|""|""|""|""
"The weapon of the Devas"|"Nanda Guruswamy"|""|""|""|""|""
"Seven Deep Insecurities Men Don't Want Women to Know: Stories of Men Who Share"|"Sheri E. Ragland"|""|""|""|""|""
"Wild-born"|"Adrian Howell"|""|""|""|""|""
"Ember Eternal: Eternal Fire Series"|"Emily Rose Philips"|""|""|""|""|""
"The Last Wizard: Case Files"|"Allen Brown"|""|""|""|""|""
"Life Re-Scripted: Find Your Purpose and Design Your Dream Life Before The Curtains Close"|"Zephan Moses Blaxberg"|""|""|""|""|""
"Stay With Me"|"Carolyn Astfalk"|""|""|""|""|""
"Chasing Shadows: The Troubled and Haunted"|"Blessing Ikokwu-Oruche"|""|""|""|""|""
"Imaginations"|"Tara Brown"|""|""|""|""|""
"Sammy and The San Juan Express: Seals The Deal"|"Nickolai Vasilieff"|""|""|""|""|""
"Finding Magdalena"|"Shannon  Condon"|""|""|""|""|""
"Heritage"|"Rebecca  Walton"|""|""|""|""|""
"Forbidden Darkness"|"Alec John Belle"|""|""|""|""|""
"The Charmed Necklace"|"Emy Maldonado, Bella Emy"|""|""|""|""|""
"Deadly Toxins of Unhealthy Churches: A survivor's testimony of hope and triumph amidst the turmoil and trauma of spiritual abuse"|"Mike Case, Andrew    Case"|""|""|""|""|""
"Shiftlight"|"David Jubermann"|""|""|""|""|""
"The Vengeful"|"Chantel Fourie"|""|""|""|""|""
"Greegs & Ladders"|"Danny Mendlow, Zack Mitchell"|""|""|""|""|""
"Sugar Coated"|"Shannen Crane Camp"|""|""|""|""|""
"The Nereid"|"Carla Munro"|""|""|""|""|""
"Fandom"|"G. Araghi"|"8"|"7"|"9"|"6|7"|"7"
"If At First"|"C.C. Cerano"|""|""|""|""|""
"The Demon Heritage of Josh Thorne"|"Joe   Fowler"|""|""|""|""|""
"The Kuthun"|"S.A.  Carter"|""|""|""|""|""
"The Beauty Thief"|"Rachael Ritchey"|""|""|""|""|""
"Hurricane Coltrane"|"Taya Okerlund"|""|""|""|""|""
"The Legacy Human"|"Susan Kaye Quinn"|""|""|""|""|""
"Alora"|"Megan Linski"|""|""|""|""|""
"Chronicles of the Nocturnal Forest"|"Vanessa Kings"|"1"|"4"|"3"|"5|2"|"2"
"Only the Devil Tells the Truth"|"Jake Parent"|""|""|""|""|""
"Candles of Rejuvenescence"|"Shizette Parker"|""|""|""|""|""
"I Belong to the Earth"|"J.A. Ironside"|""|""|""|""|""
"Girl of the Book"|"Princila Murrell"|""|""|""|""|""
"The Amateur: Barack Obama in the White House"|"Edward Klein"|""|""|""|""|""
"Karnage"|"A.J. Leigh"|""|""|""|""|""
"Hal"|"Kate Cudahy"|""|""|""|""|""
"Mark Wilkinson and the Man of Death"|"E.A.G."|""|""|""|""|""
"The Lost Caravan"|"Kirsten Eichholz"|""|""|""|""|""
"The Flight To Brassbright"|"Bob  Brown, Ken Holuta, Lori Alden Holuta"|""|""|""|""|""
"The Dreams Forgotten"|"Millie Michaels"|""|""|""|""|""
"Forests of Farallon"|"Ben McKinnon"|""|""|""|""|""
"The Last Order"|"Angela Marie Caldwell"|""|""|""|""|""
"The Parchment"|"SKETA"|""|""|""|""|""
"The Maskmaker's Apprentice"|"Mila N. Sankale"|"8"|"7"|"9"|"6|8"|"8"
"Arabella, the Moon and the Magic Mongongo Nut"|"Hamilton Wende"|""|""|""|""|""
"Gabriella and Dr. Duggan's Secret Dimensional Transport Machine"|"James Cardona"|""|""|""|""|""
"The Kidnapping of Inda Jackson"|"Cher Foth"|""|""|""|""|""
"Barry Goupe - In the Midst of Lies"|"Sean P. McClure"|""|""|""|""|""
"All Change"|"India Taylor"|""|""|""|""|""
"A Lil' Somethin' on the Side"|"S.C. Russell"|""|""|""|""|""
"Zero Is the Key"|"Robert J. Guerrera"|""|""|""|""|""
"Being Human"|"Christina Grant"|""|""|""|""|""
"Chronicles of Whimsy: Birthright"|"T. Edwin Perry"|""|""|""|""|""
"Emmie of Indianapolis"|"Kay Castaneda"|""|""|""|""|""
"Weresisters"|"Shelley Stoehr, Jade Clark"|""|""|""|""|""
"The Black Swans"|"N.W. Moors"|""|""|""|""|""
"Reluctant Heir"|"Bekah Clark"|""|""|""|""|""
"Hope For The Future"|"Lynn Whyte-Heath"|""|""|""|""|""
"The Expatriates"|"Corinne O'Flynn"|""|""|""|""|""
"Private. Keep out."|"Beverly K.D."|""|""|""|""|""
"Of Sea and Shadow"|"Will Wight"|""|""|""|""|""
"The Earth's End"|"Susan Aguilo"|""|""|""|""|""
"The Boy And The Big World"|"Stanko Markovic"|""|""|""|""|""
"The Kingdom of Keys"|"Brian  Moloney"|""|""|""|""|""
"Annie Gomez and the Gigantic Foot of Doom"|"Jay Cutts"|""|""|""|""|""
"The Finding Place"|"Julie Hartley"|""|""|""|""|""
"Hooligans"|"Chaz Fenwick"|""|""|""|""|""
"Determinational"|"Monique Koll"|""|""|""|""|""
"Killshot"|"Aria Michaels"|""|""|""|""|""
"Nathaniel Keene"|"Aditi Ramaswamy"|""|""|""|""|""
"Making Tracks"|"Scott G. Gibson"|""|""|""|""|""
"Truce of Two Polars"|"Audrey Yang"|""|""|""|""|""
"The Violet Eden Chapters"|"Jessica Shirvington"|""|""|""|""|""
"These Dark Wings"|"John Owen Theobald"|""|""|""|""|""
"EUROPA Awakenings"|"P.R. Garcia"|""|""|""|""|""
"From the Ashes I Will Rise"|"Soyadeba"|""|""|""|""|""
"Bring"|"Erin Hicks, Megan Beam"|""|""|""|""|""
"Intellectual"|"J.E. Bean"|""|""|""|""|""
"Pigeonholed."|"Elizabeth Yenni"|""|""|""|""|""
"Elements: Awakening"|"Fahad Zubaid"|""|""|""|""|""
"Tale of Leggue Brounswik"|"Chris King"|""|""|""|""|""
"Defier: The Girl Who Stood"|"Mandy Fender"|""|""|""|""|""
"The Sharecropper's Son"|"John V.  Amodeo"|""|""|""|""|""
"Turning Pain into Love"|"Michael Roels"|""|""|""|""|""
"Two Quid Kid"|"Anne Olle"|""|""|""|""|""
"Striking Terror"|"Denis Lipman"|""|""|""|""|""
"Scattering Stars"|"Wendy C. Jorgensen"|""|""|""|""|""
"The Fog Machine"|"Susan Follett"|""|""|""|""|""
"The Rewind"|"Retta Bono"|""|""|""|""|""
"Sources of Light"|"Margaret McMullan"|""|""|""|""|""
"Willow Whip"|"Irene Bennett Brown"|""|""|""|""|""
"Dix Petits Pomes and More"|"Teddy Crispin"|""|""|""|""|""
"Warrior Mage"|"Lindsay Buroker"|""|""|""|""|""
"The Horsemasters"|"Don Stanford"|""|""|""|""|""
"Veritas The Pharmacological Endgame"|"Amerigo Consta, Alessandro Boccaletti"|""|""|""|""|""
"The Silver Key"|"Elena Schauwecker"|""|""|""|""|""
"The Orphan's Secret"|"R.J. Francis"|""|""|""|""|""
"The Man Who Built the Castle"|"M. Wellman"|""|""|""|""|""
"Goodbye, Rudy Kazoody"|"A.A. Freda"|""|""|""|""|""
