"TITLE"|"AUTHOR"|"PACE"|"LENGTH"|"PLOT_COMPLEXITY"|"THEMES"|"MOOD"
"Seaview Road"|"Brian  McMahon"|""|""|""|""|""
"Fire and Grace"|"Melissa Plantz"|""|""|""|""|""
"Sword of Light"|"J.C.  Lucas"|""|""|""|""|""
"My Name Is Aram"|"Don Freeman, William Saroyan"|"7"|"8"|"9"|"6|7"|"7"
"Zee Tees Off"|"Trevor   Davies"|""|""|""|""|""
"Someone to Kiss My Scars"|"Brooke Skipstone"|""|""|""|""|""
"Love and Other Pranks"|"Tony Vigorito"|""|""|""|""|""
"Sing Me Forgotten"|"Jessica S. Olson"|"1"|"4"|"3"|"5|2"|"2"
"The Light of Xander"|"Spring Dalton"|""|""|""|""|""
"Gotham Academy, Volume 1: Welcome to Gotham Academy"|"Mingjue Helen Chen, Karl Kerschl, Becky Cloonan, Brenden Fletcher"|"7"|"8"|"9"|"6|5"|"5"
"Sister of the Chosen One"|"Erin Armknecht, Colleen Oakes"|""|""|""|""|""
"Ashen Shadows"|"Ewe Linka"|""|""|""|""|""
"Ancient Dreams"|"J.P. Roth"|""|""|""|""|""
"Starshine"|"Winter Zakwolf"|""|""|""|""|""
"Dead by Text"|"Natasha Lukin"|""|""|""|""|""
"The Beast of Bellevue"|"Grace Chen"|""|""|""|""|""
"My Possessive Bodyguard"|"Jami Gallardo"|""|""|""|""|""
"David Bishop and the Legend of the Orb"|"T.C.   Crawford"|""|""|""|""|""
"The Legend of Akikumo"|"Dani Hoots"|""|""|""|""|""
"Project Terra"|"S.J Woods"|""|""|""|""|""
"Vampires of Twilight Castle"|"Asher Sharol"|""|""|""|""|""
"The Accidental Empress"|"Justin R. Smith"|""|""|""|""|""
"She Runs With Wolves"|"Kimberly T. Hennessy"|"1"|"4"|"3"|"5|2"|"2"
"Kona"|"Melissa Davis, Erik Daniel Shein"|""|""|""|""|""
"Blood and Silver"|"Vali Benson"|""|""|""|""|""
"Children of the Shroud"|"Garfield Reeves-Stevens"|""|""|""|""|""
"The Way We Were Before"|"Madi Lalor"|""|""|""|""|""
"The Wise One"|"K.T. Anglehart"|"1"|"4"|"3"|"5|2"|"2"
"Life After"|"Genalea Barker"|""|""|""|""|""
"Moonshine Lullaby: a Novel"|"Rozita Berry"|""|""|""|""|""
"Of Sea and Smoke"|"Gillian Bronte Adams"|"1"|"4"|"3"|"5|2"|"2"
"Thunderous Beauty  Spiritual and Nature Poems"|"Maria Johnsen"|""|""|""|""|""
"Who's Got My Heart"|"Eddy Twice"|""|""|""|""|""
"To Hold the Bridge"|"Garth Nix"|"8"|"7"|"9"|"8|7"|"7"
"Phoenix Code"|"Stefan Pride, Kashel Char"|""|""|""|""|""
"Angel on My Mind"|"Shirley Wiggerman"|""|""|""|""|""
"A Tall Dark Trouble"|"Vanessa Montalban"|""|""|""|""|""
"The Tomorrow Series Collection John Marsden 7 Books Set"|"John Marsden"|""|""|""|""|""
"The Ballad of Dinah Caldwell"|"Kate Brauning"|""|""|""|""|""
"The Prophesy"|"Linda DeLeon"|""|""|""|""|""
"Guard Her Heart"|"Hannah Currie"|""|""|""|""|""
"The Parkinson's Disease Protocol: Blue Heron Health News"|"Jody K."|""|""|""|""|""
"HappyHead"|"Josh  Silver"|""|""|""|""|""
"The Virtue Season"|"L.M. Nathan"|""|""|""|""|""
"A Misfortune of Lake Monsters"|"Nicole M. Wolverton"|""|""|""|""|""
"A Ruinous Fate"|"Kaylie Smith"|""|""|""|""|""
"Aureate Disaster"|"Christine Beverly"|""|""|""|""|""
"A Good Girl's Guide to Murder / Good Girl, Bad Blood / As Good As Dead"|"Holly  Jackson"|"5"|"4"|"4"|""|""
"The Art of Raising Hell"|"Thomas Lopinski"|""|""|""|""|""
"Redeeming 6"|"Chloe Walsh"|"1"|"8"|"7"|"9|6|5|4|8|7"|"7"
"Meet Me in the Fourth Dimension"|"Rita Feinstein"|""|""|""|""|""
"Spy Ski School"|"Stuart Gibbs"|"1"|"2"|"3"|"4|5"|"5"
"The Hate You Give"|"Angie Thomas"|"9"|"8"|"9"|"10"|""
"The Night Whisperer"|"Ornella Grey"|""|""|""|""|""
"Spirit Sight"|"Marie Powell"|""|""|""|""|""
"The Prince of the Pond: Otherwise Known as De Fawg Pin"|"Judy Schachner, Donna Jo Napoli, Jacob Grimm"|""|""|""|""|""
"The Philosopher Kingdom"|"Jaqueisse Jaqueisse"|""|""|""|""|""
"When She Was Good"|"Norma Fox Mazer"|""|""|""|""|""
"Shadowmagic"|"John Lenahan"|""|""|""|""|""
"The Bookclub-in-a-Box Discussion Guide to the book: The Curious Incident of the Dog in the Night-Time"|"Mark Haddon, Marilyn Herbert"|""|""|""|""|""
"The Touch of Bark, the Feel of Stone"|"R.I. Miller"|"1"|"4"|"3"|"5|2"|"2"
"Kenny & the Dragon"|"Tony DiTerlizzi"|"7"|"8"|"9"|"6|7"|"7"
"Rx"|"Tracy Lynn"|""|""|""|""|""
"The Life of Glass"|"Jillian Cantor"|"1"|"4"|"3"|"2|5"|"5"
"The Silver Metal Lover"|"Tanith Lee"|"3"|"4"|"5"|"2|4|3|5"|"3"
"Loose Girl: A Memoir of Promiscuity"|"Kerry Cohen"|"7"|"9"|"8"|"6|5"|"5"
"Oriana's Eyes"|"Celeste Simone"|""|""|""|""|""
"Transformers: Revenge of the Fallen Movie Prequel - Alliance"|"Alex Milne, Chris Mowry"|""|""|""|""|""
"The King's Daughter"|"Suzanne Martel"|""|""|""|""|""
"You Are Here This Is Now: Poems, Stories Essays, and Art from the Best Young Wri"|"David Levithan"|""|""|""|""|""
"Shadowed Summer"|"Saundra Mitchell"|""|""|""|""|""
"Bloodmaiden"|"Christine E. Schulze"|""|""|""|""|""
"Hanging on to Max"|"Margaret Bechard"|""|""|""|""|""
"Looks"|"Madeleine George"|""|""|""|""|""
"Forbidden Paths of Thual"|"Victor Kelleher"|""|""|""|""|""
"The Highest Tide"|"Jim Lynch"|"1"|"2"|"3"|"4|5"|"5"
"The Intern"|"Jess C. Scott"|""|""|""|""|""
"The Face of Love"|"Elizabeth Van Steenwyk"|""|""|""|""|""
"The Tale of a Boy, an Elf, and a Very Stinky Fish"|"Jennifer  Kelly"|""|""|""|""|""
"Woodsong"|"Gary Paulsen"|"8"|"9"|"10"|"7|6"|"6"
"Haunted Virginia: Legends, Myths, and True Tales"|"Pamela K. Kinney"|"1"|"3"|"4"|"2|5|4|3"|"3"
"Sinking Deeper"|"Steve Vernon"|""|""|""|""|""
"Nokosee: Rise Of The New Seminole"|"Micco Mann"|""|""|""|""|""
"Seeking Shapeshifters"|"Rebekah L. Purdy"|""|""|""|""|""
"The Confessional"|"J.L. Powers"|"1"|"4"|"3"|"5|2"|"2"
"Wavelength"|"A.J. Betts"|""|""|""|""|""
"Into the Ether"|"Vanessa Barger"|""|""|""|""|""
"Not That Kind of Girl"|"Siobhan Vivian"|"8"|"7"|"9"|"6|7"|"7"
"My Sister's Destiny"|"Kristina Caden"|""|""|""|""|""
"Amaretto Flame"|"Sammie Spencer"|""|""|""|""|""
"Let's Take the Long Way Home: A Memoir of Friendship"|"Gail Caldwell"|"7"|"9"|"8"|"10|6"|"6"
"Mourning Sun"|"Shari Richardson"|""|""|""|""|""
"The Autobiography of Vivian"|"Sherrie Krantz"|""|""|""|""|""
"The Timmons Incident: Part II of the Timmons Chronicles"|"Michael Fox"|""|""|""|""|""
"The Curtain Twitcher's Handbook"|"Jo Danilo"|""|""|""|""|""
"Imperial Hostage"|"Phil Cantrill"|""|""|""|""|""
"Cutting Class"|"Keli Chaffin"|""|""|""|""|""
"Briarcliff Prep"|"Brianna Peppins"|""|""|""|""|""
"The Struggle: Striving to Survive"|"Johnny Franklin Jr."|""|""|""|""|""
"First Shift"|"A.J. Skelly"|""|""|""|""|""
"Journeys"|"Jeanne Roland"|""|""|""|""|""
"Remember Me ?"|"Amanda Ashby, Sally Rigby"|""|""|""|""|""
"58 Minutes in Driftland: A Journey to an Alternate Realm"|"I.S.A. Crisostomo-Lopez"|"58"|""|""|""|""
"The Stone Keep"|"S.K Marlay"|""|""|""|""|""
"Letters from Johnny (184)"|"Wayne Ng"|"184"|""|""|""|""
"Girlhood"|"Cat Clarke"|"1"|"2"|"3"|"4|5|3|2|1"|"4"
"Stealing Embers"|"Julie  Hall"|"8"|"7"|"9"|"6|7"|"7"
"Preserving Creata: Part 1: Learning Curve"|"H.  Gibson"|"1"|""|""|""|""
"Broken Sky"|"John            Harvey"|""|""|""|""|""
"A Heartbeat Away from You"|"Ann M. Miller"|""|""|""|""|""
"How to Ride into Adulthood on Your Own Ferrari : Book for Teens & Young Adults to Learn how Money and Investing Work to Grow their Wealth and Become Rich in the Future"|"Andrey Sydenko, Mike Smile"|""|""|""|""|""
"Roses of Arma"|"Naisha Randhar"|""|""|""|""|""
"A New Beginning"|"Shadows Finger"|""|""|""|""|""
"The Handmaiden of Death: Book One of The Dark Angel Trilogy"|"Sarah Stafford"|""|""|""|""|""
"Charlie's New Life"|"Melissa    Smith"|""|""|""|""|""
"Kristian's War"|"Peter Wisan"|""|""|""|""|""
"El: What is evil in a world that is all good?"|"Rivan V. King"|""|""|""|""|""
"Children of the Hidden Land"|"Mandira Shah"|""|""|""|""|""
"Rapunzella, Or, Don't Touch My Hair"|"Ella McLeod"|""|""|""|""|""
"The Last Angel Warrior"|"John W. Wells III"|""|""|""|""|""
"The No-Show"|"Beth O'Leary"|"8"|"7"|"9"|"6|8"|"8"
"ALL KAAL NONE, SAC OF SURPS - Part 1"|"P.B. Flower"|"1"|""|""|""|""
"Seedlings of Earth"|"Nigel Stubley"|""|""|""|""|""
"Dynamite on the Diamond"|"Donald B. Lucas"|""|""|""|""|""
"The Flying Mermaid"|"Eule Grey"|""|""|""|""|""
"The Black Book of Unethical Financial Tricks: 50 Tricks that Guilty Companies Do"|"Sulaiman Algharbi"|"50"|""|""|""|""
"The Last Ones Standing"|"A.G. Chacon"|""|""|""|""|""
"Dashes of Dreams"|"Joe Don Roggins"|""|""|""|""|""
"Mammoth"|"Brian  McBride"|""|""|""|""|""
"Afrotistic"|"Kala Allen Omeiza"|""|""|""|""|""
"The Lost Redeemer"|"David Musk"|""|""|""|""|""
"The Clackity"|"Lora Senf"|"1"|"4"|"3"|"5|2"|"2"
"The Take-Over Friend"|"Carol Dines"|""|""|""|""|""
"Revolution: 80 Days"|"Arius Lauren Raposas"|"80"|""|""|""|""
"The M. Goose Chronicles: There He Kept Her Very Well"|"Curt Simons, M. Goose"|""|""|""|""|""
"Mr Thinkalots Fantastic Space Journey #1"|"I.M.Mayes"|"1"|""|""|""|""
"The Hidden Girl"|"Louise Bassett"|""|""|""|""|""
"A Sharpened Axe"|"Jill M. Beene"|""|""|""|""|""
"How to F*ck Up Your Startup: The Science Behind Why 90% of Companies Fail--and How You Can Avoid It"|"Kim Hvidkjaer"|"90"|"

1"|"8"|"2|9|3|7|4|6|5|8"|"8"
"Dark Room Etiquette"|"Robin Roe"|""|""|""|""|""
"Aaden BlueStar Awakening"|"David  Gaughan"|""|""|""|""|""
"Wild Souls"|"Faith  Prince"|""|""|""|""|""
"Basti, my BFF"|"Karin Svrd"|""|""|""|""|""
"Live Your Best Lie"|"Jessie Weaver"|""|""|""|""|""
"Silver Key"|"Alyssa L. Bertinato"|""|""|""|""|""
"The Last Prince"|"E.G. Radcliff"|"1"|"4"|"3"|"5|2"|"2"
"Final Touch"|"Amberly Collins, Brandilyn Collins"|""|""|""|""|""
"The Nine: Origins"|"Kes Trester"|""|""|""|""|""
"First Light: A Dog's Story of Life After the Apocalypse"|"Ethan Summers"|""|""|""|""|""
"What Happened at Maryland State University"|"Michelle Carey"|""|""|""|""|""
"Moth"|"Mark Cochrane"|""|""|""|""|""
"Running for Shelter: A True Story"|"Suzette Sheft"|""|""|""|""|""
"Dyrwolf"|"Kat Kinney"|""|""|""|""|""
"Emma After"|"Anthony   O'Connor"|""|""|""|""|""
"Path of Totality"|"Heather Kreke"|""|""|""|""|""
"Rosa Parks Beyond the Bus: Life, Lessons, and Leadership"|"H.H. Leonards"|"7"|"8"|"9"|"9|8"|"8"
"Elon Musk Biography: For Young Readers"|"Kin Zang"|""|""|""|""|""
"Harsh Generation"|"Damien  Blake"|""|""|""|""|""
"Nia - The Origin"|"Rachel Bourne"|""|""|""|""|""
"A Leap into Darkness"|"Ray Petrolino"|""|""|""|""|""
"Alister: The Archives of Edgar Brave, Book 1"|"Adam W. Schmitz"|"1"|""|""|""|""
"She Is a Haunting"|"Trang Thanh Tran"|""|""|""|""|""
"Good Morning, Hope: A True Story of Refugee Twin Sisters and Their Triumph over War, Poverty, and Heartbreak"|"Argita Zalli, Detina Zalli"|""|""|""|""|""
"A Sky of Flowers"|"Areeb Mahmood"|""|""|""|""|""
"Sadie Starrs Guide to Starting Over"|"Miranda Luby"|""|""|""|""|""
"Death by Student Loan"|"L.C.  Russell"|""|""|""|""|""
"Hickey of the Beast"|"Isabel Kunkle"|""|""|""|""|""
"The Evening Oak"|"Kay LeMon, Monica Tombers, Kim Reynolds"|""|""|""|""|""
"Tim Madison, Galactic Warrior"|"Neil D. Ostroff"|""|""|""|""|""
"Not So Snow White"|"K. Sean Jennkrist"|""|""|""|""|""
"Ico: Castle in the Mist"|"Miyuki Miyabe, Alexander O. Smith"|"1"|"4"|"3"|"5|2"|"2"
"Papa and the Leprechaun King: The Secret Legend of the Shamrock"|"Arthur Cola"|"1"|"2"|"3"|"4|5"|"5"
"Fairy Circle"|"Johanna Frappier"|""|""|""|""|""
"KenKarta: Battle of the Onoxmon"|"Alison Kartevold, Susan Mary Malone, Les Polinko"|""|""|""|""|""
"Don't Give Up Said Mom"|"Christina Leigh Pritchard"|""|""|""|""|""
"Invictus: Nelson Mandela and the Game That Made a Nation"|"John Carlin"|"8"|"9"|"7"|"8|6"|"6"
"Vampire Manifesto"|"Rashaad Bell"|""|""|""|""|""
"Haunting Memories"|"Holly Huntress"|""|""|""|""|""
"Wish: Dream's Beginning"|"Deby Adair"|""|""|""|""|""
"Ten Cents a Dance"|"Christine Fletcher"|""|""|""|""|""
"The Light"|"D.J. MacHale"|""|""|""|""|""
"Chronicles of Zombie Town"|"Bon Blossman"|""|""|""|""|""
"Break Away"|"Tatiana Vila"|""|""|""|""|""
"Sorcerers of the Nightwing"|"Geoffrey Huntington"|""|""|""|""|""
"The King's Favorite"|"Susan Holloway Scott"|""|""|""|""|""
"My Lord John: A tale of intrigue, honor and the rise of a king"|"Georgette Heyer"|"7"|"8"|"9"|"6|7|8|9"|"6"
"Jason Stone (Book 1) The Powers That Be"|"Daniel E. Ouellette"|"1"|""|""|""|""
"The Girl Who Fell from the Sky"|"Heidi W. Durrow"|"7"|"8"|"9"|"6|5|8|7|9"|"8"
"Who Put That Hair in My Toothbrush?"|"Jerry Spinelli"|"7"|"8"|"6"|"9|5"|"5"
"Diary of a Psychic: Shattering the Myths"|"Sonia Choquette"|"1"|"4"|"3"|"2|5"|"5"
"The Lucky Boy"|"Caroline Gerardo"|""|""|""|""|""
"Journeys to the Heartland"|"William Horwood"|""|""|""|""|""
"Perfect Strangers"|"Jahnna N. Malcolm"|""|""|""|""|""
"End of Dry Days"|"Jax E. Garson, Eric John Ladwig"|""|""|""|""|""
"The Bullying Epidemic-the guide to arm you for the fight"|"Kathleen Patel"|""|""|""|""|""
"The Aqua Net Diaries: Big Hair, Big Dreams, Small Town"|"Jennifer Niven"|""|""|""|""|""
"The Boy Who Dared"|"Susan Campbell Bartoletti"|""|""|""|""|""
"Secrets of a Summer Village"|"H. Levent Akyil, Saskia E. Akyil"|""|""|""|""|""
"Napoleon's Bathtub"|"Jane Odin"|""|""|""|""|""
"Boob Explosion"|"Charles Chiyangwa"|""|""|""|""|""
"Marty Boggs and the Curse of the Mummy's Tomb"|"M.T. Acquaire"|""|""|""|""|""
"Into the Hollow Earth"|"Anson Montgomery"|""|""|""|""|""
"A Map of Home"|"Randa Jarrar"|"1"|"2"|"3"|"4|5"|"5"
"Silver Knight"|"Caron Rider"|""|""|""|""|""
"Lacrimosa"|"Christine Fonseca"|""|""|""|""|""
"The Case of the Blowing Whistle"|"C.C. Beechum"|""|""|""|""|""
"The Bones of the Earth"|"Scott Bury"|"1"|"4"|"3"|"5|2|4|3"|"2"
"The Gammage Cup"|"Erik Blegvad, Carol Kendall"|"1"|"2"|"3"|"4|5"|"5"
"The Phantom Pilot"|"Ann Swann"|""|""|""|""|""
"Podkayne of Mars"|"Robert A. Heinlein"|"1"|"2"|"3"|"4|5|3|2|1"|"3"
"Hold on Tight"|"Maria E. Monteiro"|""|""|""|""|""
"Plain Kate"|"Erin Bow"|"8"|"7"|"9"|"6|8"|"8"
"Taste of Fire"|"Jeannie Faulkner Barber"|""|""|""|""|""
"The Farfield Curse"|"Kaleb Nation, Brandon Dorman"|"7"|"8"|"6"|"9|5"|"5"
"A Time to Tell"|"Maria Savva"|""|""|""|""|""
"Passing as Elias"|"Kate Bloomfield"|""|""|""|""|""
"Cubanita"|"Gaby Triana"|""|""|""|""|""
"Time Fighters: The Shifter Prince"|"Mark Budman"|""|""|""|""|""
"The Alien Mind"|"V.L. Jennings"|""|""|""|""|""
"The Hunt for Ned Kelly"|"Sophie Masson"|""|""|""|""|""
"The Orphan Stone"|"Rod Tyson"|""|""|""|""|""
"Undermountain"|"Eric Kent Edstrom"|""|""|""|""|""
"Lily White"|"Shelley Poole"|""|""|""|""|""
"The 100 Best African American Poems: A Black Poetry Collection"|"Nikki Giovanni"|"7"|"8"|"9"|"6|7|8|9"|"8"
"They Wish They Were Us"|"Jessica  Goodman"|""|""|""|""|""
"The Keeper of the Stones"|"M.J.  Webb"|""|""|""|""|""
"Heart of Swine"|"Freddy F. Fonseca"|""|""|""|""|""
"Rosie Girl"|"Julie Shepard"|""|""|""|""|""
"The Book Eaters"|"Sunyi Dean"|""|""|""|""|""
"Max Random and the Zombie 500"|"Mark London Williams"|"500"|""|""|""|""
"Revenge Soldiers"|"Dan Pagano"|""|""|""|""|""
"Constellation Planet"|"Jason Falloon"|""|""|""|""|""
"The Dead Game"|"Susanne  Leist"|""|""|""|""|""
"Double Negative"|"C. Lee McKenzie"|"8"|"7"|"9"|"6|8"|"8"
"Cherish"|"Sheritha Singh"|""|""|""|""|""
"Kipp the Copper Coast Kid"|"Paul G. Day"|""|""|""|""|""
"A Dog Gone Christmas"|"Lindsay Downs"|""|""|""|""|""
"A Father's Love"|"Lorhainne Eckhart, Sherrill Welz"|""|""|""|""|""
"Nonsense"|"Nick Angelis"|""|""|""|""|""
"Facing Demons"|"Ashley Sanders"|""|""|""|""|""
"The Inn at Corbies' Caww"|"Verlyn Flieger"|""|""|""|""|""
"Nicholas: The Fantastic Origin of Santa Claus"|"Cody W. Urban"|""|""|""|""|""
"The Quicksilver"|"Michael C. Madden"|""|""|""|""|""
"Squalor, New Mexico"|"Lisette Brodey"|""|""|""|""|""
"The Latte Rebellion"|"Sarah Jamila Stevenson"|""|""|""|""|""
"Outlaw Heroes"|"Deanna Lynn Sletten"|""|""|""|""|""
"Oceanus: The Infinite Healing Power of Love"|"Mara Kerr"|""|""|""|""|""
"Hiren's Magical Adventure"|"Kathleen Patel"|""|""|""|""|""
"Prince of Alasia"|"Jack Lin, Annie Douglass Lima"|""|""|""|""|""
"Revengeful Heart"|"Chrys Phillips"|""|""|""|""|""
"Ghost Tigers"|"Douglas Richard Johnson"|""|""|""|""|""
"Under the Apple Tree"|"Sarah Winifred Searle"|""|""|""|""|""
"Room in the Heart"|"Sonia Levitin"|""|""|""|""|""
"Hope's Daughter"|"Melanie Cusick-Jones"|""|""|""|""|""
"People's Republic"|"Robert Muchamore"|"8"|"7"|"6"|"9|7"|"7"
"Meeting Destiny"|"Nancy Straight"|""|""|""|""|""
"Sudden Flash Youth: 65 Short-Short Stories"|"Mark Budman, Tom Hazuka, Christine Perkins-Hazuka"|"8"|"6"|"7"|"5|9"|"9"
"Abby, My Love"|"Hadley Irwin"|""|""|""|""|""
"Treehugger"|"Kea Alwang"|""|""|""|""|""
"The Legend of the Pumpkin Thief"|"Charles Day"|""|""|""|""|""
"The Forest"|"Susan Prudhomme"|""|""|""|""|""
"Soul Mates: Scent"|"Elizabeth A. Lance"|""|""|""|""|""
"Blue Mystery"|"Margot Benary-Isbert, Clara Winston, Enrico Arno, Richard Winston"|""|""|""|""|""
"Parallel Lines"|"Laura Moe"|"1"|"4"|"3"|"2|5"|"5"
"Mousie: The Diary of a Coon Cat Family"|"Jane Odin"|""|""|""|""|""
"The Grass Harp, Including A Tree of Night and Other Stories"|"Truman Capote"|""|""|""|""|""
"The Girl Who Owned a City"|"O.T. Nelson"|"1"|"8"|"7"|"9|6|5|4|3|2"|"2"
"Capital: Critique of Political Economy, Vol 1: A Critical Analysis of Capitalist Production"|"Ernest Mandel, Ben Fowkes, Karl Marx"|"1"|""|""|""|""
"Corridor"|"Robin Parrish"|""|""|""|""|""
"King by Right of Blood and Might"|"Anna L. Walls"|""|""|""|""|""
"Fantastic, Fabulous Creatures & Beasts"|"Melanie Dellas, Christopher Bennett"|""|""|""|""|""
"X Isle"|"Steve Augarde"|""|""|""|""|""
"Pride & Princesses"|"Summer Day"|""|""|""|""|""
"Hyblood"|"Stephanie Budd, April Wolf"|""|""|""|""|""
"Eleven"|"Carisa Holmes, J.J. Bende"|""|""|""|""|""
"Death of a True Love"|"Bryan Butvidas"|""|""|""|""|""
"Side Effects"|"Jennifer M. Barry"|""|""|""|""|""
"Cracking the Ice"|"David H. Hendrickson"|"1"|"4"|"3"|"2|5"|"5"
"Shadows of Krandom: The Rise of the Dragon Prince"|"David B. Floyd Jr."|""|""|""|""|""
"The Drainpipe Gang"|"Theresa Sargeant"|""|""|""|""|""
"The Happiness Lottery"|"Elizabeth Zinn"|""|""|""|""|""
"Consumine Desire Masters The Secret Power of True Love: The Solrac Music Story"|"Carlos A Merriweather BSBA, Sheila of FirstEdit, Alice H. Cash, Patsy Eastwood, Laura Langa-Spencer"|""|""|""|""|""
"The Last Pirate"|"Doug   Cook, Katherine Pierce, Wilson Hawthorne"|""|""|""|""|""
"Last Stop This Town"|"David H. Steinberg"|""|""|""|""|""
"Devastation"|"Shandy L. Kurth"|""|""|""|""|""
"Best Friends Forever"|"Elizabeth Fields"|""|""|""|""|""
"The Gods Among Us"|"D.C. Belton"|""|""|""|""|""
"WiSpY"|"Rob Andrews"|""|""|""|""|""
"True Woman"|"Gregor Golob"|""|""|""|""|""
"Unaccounted For"|"Nan Willard Cappo"|""|""|""|""|""
"The Fire of Dawn"|"V.V. Aku"|""|""|""|""|""
"The Sunbottle Stone"|"Matt Ponticello"|""|""|""|""|""
"Dancing with Death"|"Andrea Heltsley"|""|""|""|""|""
"Letters From the Ledge"|"Lynda Meyers"|""|""|""|""|""
"The Firestone Crystal"|"Linda  David"|""|""|""|""|""
"Adult World"|"Christopher Scott Grimaldi"|""|""|""|""|""
"Gasparilla's Treasure"|"Scott Clements"|""|""|""|""|""
"The Second Dragdani Prophecy"|"R. Alan Ferguson"|""|""|""|""|""
"A Random Walk Down Wall Street"|"Burton G. Malkiel"|"1"|"8"|"7"|"9|5|6|4|3|2"|"2"
"A Fistful of Sky"|"Nina Kiriki Hoffman"|"8"|"7"|"9"|"6|7"|"7"
"The Drama Unfolds"|"Andrea M. Kulman"|""|""|""|""|""
"A Stranger Came Ashore"|"Mollie Hunter, Lisa Falkenstern"|""|""|""|""|""
"Nobody's Family Is Going to Change"|"Louise Fitzhugh"|"1"|"2"|"3"|"4|5"|"5"
"Champion: A Story of the Happy Life of Roman Lefthanded Losinski"|"Miles Cobbett"|""|""|""|""|""
"Roots Grow Backwards: Visions in Midwestern Poetry & Photographs"|"Jamie S. Smith, Claire S. Smith, Merle S. Elliott"|""|""|""|""|""
"Violet on the Runway"|"Melissa C. Walker"|"1"|"3"|"4"|"2|3"|"3"
"The Witch's Handbook"|"Malcolm   Bird"|""|""|""|""|""
"One Butt Cheek at a Time"|"Amber Kizer"|""|""|""|""|""
"In Search of the 8th Key"|"Yolanda Jackson"|""|""|""|""|""
"The Dandelion Clock"|"Guy Burt"|""|""|""|""|""
"The Light And Dark Side Of Seventeen"|"Judith Kristen"|""|""|""|""|""
"The Magic Mole"|"Martha Kehr"|""|""|""|""|""
"Tales of the Tree People ""To tree...or not to tree?"""|"Lori E. Mazzola"|""|""|""|""|""
"Hallowed Moon"|"S.M. Nelson"|""|""|""|""|""
"Messed Up"|"Janet Nichols Lynch"|""|""|""|""|""
"Disappearance"|"Don  Inman"|""|""|""|""|""
"Sarabande"|"Marcus Fedder"|""|""|""|""|""
"In Lane Three, Alex Archer"|"Tessa Duder"|""|""|""|""|""
"The Fledging of Az Gabrielson"|"Jay Amory"|""|""|""|""|""
"Double Life"|"Dawson Vosburg"|""|""|""|""|""
"Ashley and Tiana"|"Jessica R. Dreistadt"|""|""|""|""|""
"His Calling"|"Jason J. Cross"|""|""|""|""|""
"Werewolf Dreams"|"M.M. Anderson"|""|""|""|""|""
"The Twisted Tree"|"Melanie  James"|""|""|""|""|""
"Parker Takes a Bullet"|"Lewis Hall"|""|""|""|""|""
"The Adventures of the Nature Family"|"Angela A. Andrews"|""|""|""|""|""
"Carter Finally Gets It"|"Brent Crawford"|"8"|"7"|"6"|"9"|""
"The Mozart Season"|"Virginia Euwer Wolff"|"8"|"7"|"9"|"6|7"|"7"
"Eternal i.v. Pole: My Last Gift of Wisdom I Give to the World I love; Given to me by the God I Love"|"Milkweed L. Augustine"|""|""|""|""|""
"Return to Your First Love"|"Teresa R. Jones"|""|""|""|""|""
"Billy: Messenger of Powers"|"Michaelbrent Collings"|""|""|""|""|""
"The Auslesen Seven In The Land of The Unicorn"|"Zachary T.M. Schmitz"|""|""|""|""|""
"How to Get to the Heart of Your Teen: A Guide for Parents and Teens"|"Lisa R. Brereton"|""|""|""|""|""
"Grave New World"|"Ken Sheffer"|""|""|""|""|""
"Zero: The Biography of a Dangerous Idea"|"Charles Seife"|"1"|"8"|"7"|"9|6|5|4|3|2"|"2"
"a life revealed"|"Suzi Katz"|""|""|""|""|""
"In the Hand of the Taliban: Her Extraordinary Story"|"Yvonne Ridley"|""|""|""|""|""
"Choosing Up Sides"|"John H. Ritter"|"1"|"2"|"3"|"4|5"|"5"
"Flatbellies"|"Alan Berch Hollingsworth"|""|""|""|""|""
"The Pirate Vortex"|"Deborah Cannon"|""|""|""|""|""
"Flight on Fire Mountain"|"Tim Lane"|""|""|""|""|""
"Witch Hunt of the Dwills"|"Eric Dreyer Smith"|""|""|""|""|""
"A Vigil for Joe Rose: Stories of Being Out in High School"|"Michael Whatling"|""|""|""|""|""
"Orphea Proud"|"Sharon Dennis Wyeth"|"8"|"7"|"9"|"9"|""
"Mieradome"|"Kate O'Hegarty"|""|""|""|""|""
"Defender of the Realm"|"Corey Holst"|""|""|""|""|""
"Court of Honor"|"Paula Gorgas"|""|""|""|""|""
"Hanging Flynn"|"Addison Lane"|""|""|""|""|""
"Reintroduction"|"Kyle Timmermeyer"|""|""|""|""|""
"The Secret of Shadow"|"Jacqui Terry, Kimberly Sikora, T.J. Silver"|""|""|""|""|""
"Zed"|"Stephen Herfst"|""|""|""|""|""
"Sorrows Fall"|"Davonne Burns"|""|""|""|""|""
"Scarlet Spotlight"|"J.X. Burros"|""|""|""|""|""
"Love Lines"|"Diana Nixon"|"1"|"4"|"3"|"5|2"|"2"
"Nothing but Trouble after Midnight"|"Kimberly Blackadar"|""|""|""|""|""
"The Crystal Point of the Mog Pogs"|"Don Cambou"|""|""|""|""|""
"Albion's Dream"|"Roger  Norman"|""|""|""|""|""
"Wanted!"|"Caroline B. Cooney"|""|""|""|""|""
"Eternity, My Love"|"Heather Caudill McBride"|""|""|""|""|""
